clause,label
"임차인은 임대인의 동의 없이 임차주택의 구조를 변경하거나 전대할 수 없으며, 이를 위반할 경우 임대인은 계약을 해지할 수 있다.",0
"임대인은 임차주택의 벽면 균열, 누수 등 기본적인 구조적 결함에 대한 수선의무를 지며, 임차인은 소모품 교체 등 경미한 수선을 부담한다.",0
"임차인은 계약 만료 시 임차주택을 원상으로 회복하여 임대인에게 반환하여야 하며, 정상적인 마모나 시간의 경과에 따른 변색은 제외한다.",0
"임대인은 임차인이 잔금을 지급하는 익일까지 임차주택에 대한 저당권 등 새로운 권리설정을 하지 않기로 약정한다.",0
"본 계약 기간 중 임차주택의 매매 등으로 소유권이 이전되는 경우, 임대인은 임차인에게 이를 즉시 통지하고 새로운 소유자가 임대인의 지위를 승계하도록 한다.",0
"보증금의 반환은 임차주택의 명도와 동시에 이행하며, 임대인은 명도 확인 후 지체 없이 보증금 전액을 임차인에게 반환한다.",0
"임차인이 월 차임을 2기 이상 연체하는 경우 임대인은 본 계약을 해지할 수 있으며, 연체료는 시중은행 연체이율을 적용한다.",0
"계약 기간 만료 2개월 전까지 당사자 일방이 갱신거절이나 조건 변경의 통지를 하지 아니한 경우, 동일한 조건으로 묵시적 갱신된 것으로 본다.",0
"임차인은 임대인의 동의를 얻어 설치한 부속물에 대하여 계약 만료 시 임대인에게 그 매수를 청구할 수 있다.",0
"화재, 지진 등 임차인의 책임 없는 사유로 임차주택의 일부가 멸실되어 사용·수익할 수 없는 경우, 그 비율만큼 차임의 감액을 청구할 수 있다.",0
"임대인은 임차인이 주택인도와 주민등록을 마친 당일까지 저당권 등 제한물권을 설정하지 않으며, 이를 위반 시 계약은 무효로 하고 배상한다.",0
"계약 해지 시 장기수선충당금은 임대인이 최종 부담하므로, 관리비에 포함되어 부과된 금액은 임대인이 임차인에게 정산하여 반환한다.",0
"임차인은 계약 기간 중 주택의 유지 및 관리에 주의 의무를 다하여야 하며, 임차인의 과실로 발생한 파손에 대해서는 보수 의무를 진다.",0
"임대차 계약이 효력을 상실한 경우 귀책사유가 있는 당사자는 상대방에게 계약금의 배액을 상환하거나 계약금을 포기함으로써 손해를 배상한다.",0
"임차인은 계약 만료 전 퇴거하고자 할 경우 최소 3개월 전에 임대인에게 통지하여야 하며, 새로운 임차인의 중개보수는 잔여 기간에 따라 상호 협의한다.",0
"임대인은 계약 체결 당시 고지하지 아니한 임차주택의 중대한 하자(보일러 고장, 결로 등)가 발견될 경우 즉시 수선할 책임을 진다.",0
"본 계약에 규정되지 아니한 사항은 주택임대차보호법 및 민법의 규정과 일반적인 상관례에 따르기로 한다.",0
"월 차임은 매월 지정된 날짜에 임대인의 명의로 된 은행 계좌로 입금하기로 하며, 계좌번호는 계약서상 명시된 바와 같다.",0
"임차인이 계약 청구권을 행사하여 계약을 갱신하는 경우, 차임과 보증금의 증액 청구는 법정 한도인 5%를 초과할 수 없다.",0
"임대인은 계약 체결 후 잔금 지급일 전까지 당해 주택에 대한 국세 및 지방세 체납 사실이 없음을 확인해 주어야 한다.",0
"주택의 노후화로 인한 배관 막힘이나 노후 보일러 부품 교체 비용은 임대인이 전액 부담하기로 한다.",0
"임차인은 주택의 공동생활 수칙을 준수하여야 하며, 고성방가 등으로 이웃에게 심각한 피해를 주어서는 아니 된다.",0
"중개보수는 잔금 지급과 동시에 공인중개사에게 지급하며, 법정 요율을 초과하여 청구할 수 없다.",0
"임차인이 전입신고와 확정일자를 받을 수 있도록 임대인은 적극 협조하며, 이에 필요한 서류를 요구할 시 지체 없이 제공한다.",0
"계약 기간 중 임차인이 사망한 경우, 주택에서 가정공동생활을 하던 사실상 혼인 관계에 있는 자는 임차인의 권리와 의무를 승계한다.",0
"천재지변이나 기타 불가항력적인 사유로 인하여 임차주택을 사용할 수 없게 된 경우, 본 계약은 자동으로 해지되며 보증금은 즉시 반환한다.",0
"임대차 목적물의 면적이 계약서상 표시된 면과 현저히 차이가 날 경우, 임차인은 차임의 감액을 요구하거나 계약을 해지할 수 있다.",0
"임차인은 주택의 통상적인 관리 비용(공동 청소비, 엘리베이터 유지비 등)을 관리비 명목으로 매월 납부한다.",0
"임대인은 임차인이 임대차 기간 중 안전하게 거주할 수 있도록 주택의 기본적인 방범 장치(도어락 등)의 작동을 보장한다.",0
"임차인의 사정으로 계약을 중도 해지하는 경우 해지 효력은 임대인이 통지를 받은 날로부터 3개월 후에 발생한다.",0
"보증금을 정액 증액하는 경우, 증액분에 대한 별도의 계약서를 작성하고 이에 대해 다시 확정일자를 받기로 한다.",0
"임차인은 동거인의 변동이 있을 경우 임대인에게 사전 또는 사후에 통지하여 계약의 신뢰 관계를 유지하도록 한다.",0
"임대인은 계약 기간 중 임차인의 주거 자유를 침해하여서는 아니 되며, 주택 방문이 필요할 경우 사전에 임차인의 동의를 구해야 한다.",0
"임차인은 계약 종료 시 주택 내에 있는 본인의 소유물을 모두 반환하고 점유를 이전하여 임대인의 완전한 소유권 행사를 보장한다.",0
"계약 해제에 따른 원상복구 비용 산정 시, 양 당사자는 공인된 견적서를 바탕으로 합의하여 금액을 결정한다.",0
"임대인은 잔금 지급일 당일 가압류나 가처분 등 소유권을 제한하는 일체의 등기가 없는 상태를 유지하여야 한다.",0
"임차인이 주택을 반환할 때 발생한 폐기물 처리 비용은 임차인이 부담하며, 이를 보증금에서 공제할 수 있다.",0
"임대차 계약 만료 후 보증금 반환이 지체될 경우, 임대인은 지체 기일 동안 법정 이율에 따른 지연손해금을 가산하여 지급한다.",0
"본 계약은 양 당사자가 날인하고 계약금이 실제로 교부된 시점부터 법적 효력을 발생한다.",0
"임차인이 임대차 목적물에 유익비를 지출하여 주택의 가치가 객관적으로 증가한 경우, 계약 종료 시 임대인에게 그 상환을 청구할 수 있다.",0
"반려동물을 사육하는 경우 임차인은 주택 내부 시설물이 훼손되지 않도록 관리할 의무를 지며, 훼손 시 원상복구한다.",0
"임대인은 임차인의 전세자금대출 신청 시 필요한 주택 관련 서류 제출 및 은행의 현장 실사에 적극 협조한다.",0
"임차인은 계약 체결 후 거주 기간 동안 선량한 관리자의 주의로 주택을 유지·관리하여야 한다.",0
"임대인은 계약 체결 당시 주택에 설정된 선순위 담보권의 채권최고액을 정확히 고지하여야 한다.",0
"관리비 세부 내역은 매월 임차인에게 투명하게 공개되어야 하며, 불명확한 항목에 대해서는 설명을 요구할 수 있다.",0
"임차인의 귀책사유 없이 주택에 하자가 발생하여 사용이 불가능한 기간 동안은 해당 기간만큼의 차임 지급을 면제한다.",0
